dataset,classifier,best_params,mean_accuracy,mean_precision,mean_recall,mean_f1_score,auc
breast_cancer,KNN,{'knn__n_neighbors': 3},0.9665890389691041,0.9703585040690303,0.9590428228284436,0.9636588598824034,0.998520162782094
breast_cancer,Random Forest,{'rf__n_estimators': 100},0.9560937742586555,0.9557435041160833,0.9526707402034947,0.9528924697936147,1.0
breast_cancer,SVM,"{'svm__C': 10, 'svm__kernel': 'rbf'}",0.9789163173420278,0.9799307432106413,0.9754488819220232,0.9772669033859678,0.9999735743353946
banknote,KNN,{'knn__n_neighbors': 3},0.9985401459854014,0.9983739837398374,0.9986842105263157,0.998523607462787,1.0
banknote,Random Forest,{'rf__n_estimators': 50},0.9941632382216323,0.993840347916362,0.9944175872822525,0.9940963445153678,1.0
banknote,SVM,"{'svm__C': 1, 'svm__kernel': 'rbf'}",1.0,1.0,1.0,1.0,1.0
digits,KNN,{'knn__n_neighbors': 5},0.9788502011761064,0.9794170504000224,0.9788219648219648,0.9787964332704355,0.9998912440201753
digits,Random Forest,{'rf__n_estimators': 200},0.979962859795729,0.9806820738182968,0.9798818734701088,0.9799519376359956,1.0
digits,SVM,"{'svm__C': 10, 'svm__kernel': 'rbf'}",0.9838594862271742,0.9842239109963569,0.983882882882883,0.983836601552334,1.0
dry_bean,KNN,{'knn__n_neighbors': 7},0.923959154917036,0.9382790896970314,0.9344295812705029,0.9361396611031605,0.9976572093025303
dry_bean,Random Forest,{'rf__n_estimators': 200},0.9255020570679516,0.9379431626428717,0.9345859964132149,0.9361462875861128,1.0
dry_bean,SVM,"{'svm__C': 10, 'svm__kernel': 'rbf'}",0.9315265530006316,0.9439156881279256,0.9411645795147809,0.942449483893051,0.9960355447330907
